#objID,g,r,i,u
1237645941296726552,22.01787,20.8658,20.06205,23.38145
1237645941296726550,21.81616,21.10569,20.91024,25.51597
1237645941296726547,22.43316,21.97855,21.5174,23.17742
1237645941296726540,21.86963,20.13986,19.39817,25.39487
1237645941296726538,22.33812,21.39165,20.99084,23.95709
1237645941296726536,21.76977,20.49982,20.09806,23.58633
1237645941296726531,24.45967,21.13547,20.40193,24.63739
1237645941296726530,20.89224,19.10269,18.36353,23.9364
1237645941296726526,21.67516,20.50345,20.12747,23.3722
1237645941296726524,21.88242,20.95109,20.62315,22.39075
1237645941296726520,24.20861,21.93824,21.02481,25.59201
1237645941296726519,21.14269,20.60143,20.33247,22.21205
1237645941296726517,22.46252,21.84907,21.68504,24.16126
1237645941296726515,20.59248,20.15453,20.04136,21.26089
1237645941296726513,22.02416,20.9142,20.43998,24.10354
1237645941296726512,22.31676,20.98931,20.63198,23.23675
1237645941296726511,21.64029,20.40497,20.08148,21.59402
1237645941296726510,22.07017,21.41922,21.1913,23.61779
1237645941296726509,22.33058,21.8278,21.57457,23.56999
1237645941296726508,21.60825,20.72247,20.29467,23.25964
1237645941299020374,22.10872,21.03692,20.71745,23.36981
1237645941299020371,22.44771,21.53641,21.08951,23.42037
1237645941299020370,23.04615,21.37719,20.78959,23.59793
1237645941299020363,22.64236,21.3562,20.78553,24.81432
1237645941299020358,23.39296,21.10359,20.35472,24.64488
1237645941299020354,22.68883,21.98794,21.61169,23.96152
1237645941299020353,22.50431,21.86685,21.26511,23.55206
1237645941299020351,22.03823,20.98926,20.82125,22.61832
1237645941299020350,22.55462,21.33606,21.1304,25.28344
1237645941299020348,21.82907,21.1693,20.92875,22.57369
1237645941299020347,22.12181,20.29721,19.57291,24.16086
1237645941299020345,22.58992,21.29515,20.8136,24.13483
1237645941299020342,22.27945,21.52441,21.51803,23.14147
1237645941299020336,21.76143,20.68936,20.30045,23.33744
1237645941299020333,20.85134,20.13191,19.74451,22.09025
1237645941299020331,22.54626,21.48682,21.10678,24.37937
1237645941299020329,21.71364,19.93724,19.10452,26.00838
1237645941299020326,22.73317,21.26878,20.83371,23.60087
